year,species_code,sex,sex_desc,iss,nss,nhls
1990,21720,0,total_pre,108.98461080328237,493,29
1990,21720,1,male,53.878783118037845,220,26
1990,21720,2,female,66.36919333195036,273,28
1990,21720,4,total_post,92.11556824053737,493,29
1990,21720,12,female_male,128.11587392453586,493,29
1990,21740,0,total_pre,84.44339332225839,1065,38
1990,21740,1,male,58.65450791594867,503,35
1990,21740,2,female,73.81466337713384,560,35
1990,21740,4,total_post,80.72645106290474,1065,38
1990,21740,12,female_male,141.5561182418607,1063,38
1993,21720,0,total_pre,155.3028174163852,803,65
1993,21720,1,male,85.8517808241167,365,61
1993,21720,2,female,104.3724394782298,438,63
1993,21720,4,total_post,146.89974516303806,803,65
1993,21720,12,female_male,199.83891199815383,803,65
1993,21740,0,total_pre,126.05995259023409,1898,64
1993,21740,1,male,107.4363593984067,868,62
1993,21740,2,female,101.70336162488519,1007,58
1993,21740,4,total_post,126.98665339581757,1898,64
1993,21740,12,female_male,211.1810532094883,1875,64
1996,21720,0,total_pre,43.537401055868216,771,87
1996,21720,1,male,24.77453421873265,386,68
1996,21720,2,female,45.66247568751324,385,77
1996,21720,4,total_post,38.08734239343304,771,87
1996,21720,12,female_male,63.631710286908366,771,87
1996,21740,0,total_pre,47.028630115342395,1013,70
1996,21740,1,male,51.816109859423776,483,64
1996,21740,2,female,70.34787667623829,527,64
1996,21740,4,total_post,46.50594243123791,1013,70
1996,21740,12,female_male,126.51654429886946,1010,70
1999,21720,0,total_pre,179.46224472818378,664,66
1999,21720,1,male,88.74578451636286,296,54
1999,21720,2,female,105.38603447916746,368,59
1999,21720,4,total_post,155.77009944746774,664,66
1999,21720,12,female_male,208.93338156604617,664,66
1999,21740,0,total_pre,97.12993670636465,1191,114
1999,21740,1,male,55.23770641354955,525,88
1999,21740,2,female,94.53616507028488,584,100
1999,21740,4,total_post,88.47388410808448,1191,114
1999,21740,12,female_male,117.35626320264772,1109,106
2001,21720,0,total_pre,126.70833512799646,733,149
2001,21720,1,male,90.11470111745089,353,117
2001,21720,2,female,79.40074944454568,380,122
2001,21720,4,total_post,113.8847703978154,733,149
2001,21720,12,female_male,178.2132507939274,733,149
2001,21740,0,total_pre,38.36695633723511,887,125
2001,21740,1,male,25.30104485618779,380,99
2001,21740,2,female,34.02346463752391,497,120
2001,21740,4,total_post,35.0278686454882,887,125
2001,21740,12,female_male,74.07149539802697,877,124
2003,21720,0,total_pre,169.8812278904211,649,123
2003,21720,1,male,86.92302312085842,309,102
2003,21720,2,female,89.3507754399917,340,94
2003,21720,4,total_post,160.31416252548593,649,123
2003,21720,12,female_male,192.18109477043222,649,123
2003,21740,0,total_pre,164.77988659336506,1099,158
2003,21740,1,male,116.03522306786141,507,145
2003,21740,2,female,133.17002668095856,582,138
2003,21740,4,total_post,153.55535193373137,1099,158
2003,21740,12,female_male,272.59549217370835,1089,158
2005,21720,0,total_pre,76.24320756288381,450,82
2005,21720,1,male,51.58569067925827,216,65
2005,21720,2,female,43.25375107517074,234,65
2005,21720,4,total_post,71.72291069838674,450,82
2005,21720,12,female_male,101.96980241188776,450,82
2005,21740,0,total_pre,77.46746930054069,1469,171
2005,21740,1,male,131.56776957064113,615,155
2005,21740,2,female,161.38936903953672,839,162
2005,21740,4,total_post,79.98466206459273,1469,171
2005,21740,12,female_male,307.87102564879086,1454,171
2007,21720,0,total_pre,40.86918568925154,470,63
2007,21720,1,male,29.39956128785749,233,56
2007,21720,2,female,25.753923301309058,237,49
2007,21720,4,total_post,31.828987679199376,470,63
2007,21720,12,female_male,61.42800706832712,470,63
2007,21740,0,total_pre,93.59382027268202,1269,123
2007,21740,1,male,74.69724485332765,620,122
2007,21740,2,female,67.65192524203525,648,122
2007,21740,4,total_post,87.75917781928945,1269,123
2007,21740,12,female_male,154.24251300615006,1268,123
2009,21720,0,total_pre,19.786203509878575,536,96
2009,21720,1,male,46.9987988654764,256,77
2009,21720,2,female,57.72670583800375,278,81
2009,21720,4,total_post,17.04479606637536,536,96
2009,21720,12,female_male,111.16711148854077,534,95
2009,21740,0,total_pre,100.56194282253901,1559,190
2009,21740,1,male,84.29032753651263,684,164
2009,21740,2,female,101.2346809470725,870,176
2009,21740,4,total_post,95.11899951799272,1559,190
2009,21740,12,female_male,196.40950898891086,1554,190
2011,21720,0,total_pre,84.39516940086317,803,140
2011,21720,1,male,73.02811925229199,386,112
2011,21720,2,female,56.81004924464974,417,116
2011,21720,4,total_post,83.22475568985008,803,140
2011,21720,12,female_male,144.0404721186982,803,140
2011,21740,0,total_pre,109.77224077341599,1642,160
2011,21740,1,male,78.09538292599315,696,157
2011,21740,2,female,103.39843426035239,928,158
