year,species_code,sex,sex_desc,iss,nss,nhls
1990,21720,0,total_pre,114.27912151690549,493,29
1990,21720,1,male,61.09586412846149,220,26
1990,21720,2,female,72.76565418795727,273,28
1990,21720,4,total_post,98.02485430106206,493,29
1990,21720,12,female_male,146.64784343014009,493,29
1990,21740,0,total_pre,113.5671525042682,1065,38
1990,21740,1,male,79.2614259133883,503,35
1990,21740,2,female,104.40347879930418,560,35
1990,21740,4,total_post,111.12397808901333,1065,38
1990,21740,12,female_male,197.3270244096156,1063,38
1993,21720,0,total_pre,148.1340156925525,803,65
1993,21720,1,male,100.82177714276378,365,61
1993,21720,2,female,103.9012131887171,438,63
1993,21720,4,total_post,141.4469414563061,803,65
1993,21720,12,female_male,225.0595949783277,803,65
1993,21740,0,total_pre,196.2663316705834,1898,64
1993,21740,1,male,131.65208801431933,868,62
1993,21740,2,female,185.1744234804284,1007,58
1993,21740,4,total_post,193.3728238960287,1898,64
1993,21740,12,female_male,317.40431012835086,1875,64
1996,21720,0,total_pre,44.00996184633076,771,87
1996,21720,1,male,25.44076871871206,386,68
1996,21720,2,female,55.990061797710624,385,77
1996,21720,4,total_post,40.80469993069351,771,87
1996,21720,12,female_male,69.25442912271994,771,87
1996,21740,0,total_pre,49.98295425465941,1013,70
1996,21740,1,male,54.20118801224992,483,64
1996,21740,2,female,86.98700891037966,527,64
1996,21740,4,total_post,49.05618674202908,1013,70
1996,21740,12,female_male,142.64201022414514,1010,70
1999,21720,0,total_pre,190.7950133845614,664,66
1999,21720,1,male,115.67671905742796,296,54
1999,21720,2,female,127.61078122819151,368,59
1999,21720,4,total_post,182.7982869395007,664,66
1999,21720,12,female_male,268.28330804578616,664,66
1999,21740,0,total_pre,110.01506099004982,1191,114
1999,21740,1,male,63.19356601628175,525,88
1999,21740,2,female,129.79820362858877,584,100
1999,21740,4,total_post,99.69457405705955,1191,114
1999,21740,12,female_male,132.41017625677702,1109,106
2001,21720,0,total_pre,121.24886384103768,733,149
2001,21720,1,male,95.80055945209944,353,117
2001,21720,2,female,100.1548193290508,380,122
2001,21720,4,total_post,117.75196358852563,733,149
2001,21720,12,female_male,207.91132176992335,733,149
2001,21740,0,total_pre,40.14883484275612,887,125
2001,21740,1,male,27.07401957788584,380,99
2001,21740,2,female,36.34263683453198,497,120
2001,21740,4,total_post,38.8360660268804,887,125
2001,21740,12,female_male,78.1986198130262,877,124
2003,21720,0,total_pre,218.4264829173662,649,123
2003,21720,1,male,121.28461511743619,309,102
2003,21720,2,female,138.70776176972998,340,94
2003,21720,4,total_post,206.67001185627677,649,123
2003,21720,12,female_male,288.6054201220874,649,123
2003,21740,0,total_pre,171.39627694999785,1099,158
2003,21740,1,male,128.39823117008285,507,145
2003,21740,2,female,152.57847380344109,582,138
2003,21740,4,total_post,169.2536469235561,1099,158
2003,21740,12,female_male,308.84904089152616,1089,158
2005,21720,0,total_pre,112.41137948866601,450,82
2005,21720,1,male,76.96293864519612,216,65
2005,21720,2,female,65.92020573921506,234,65
2005,21720,4,total_post,104.58778620949941,450,82
2005,21720,12,female_male,158.80210318958012,450,82
2005,21740,0,total_pre,96.5313295846642,1469,171
2005,21740,1,male,143.8723533509742,615,155
2005,21740,2,female,195.49624525100003,839,162
2005,21740,4,total_post,95.09781143674805,1469,171
2005,21740,12,female_male,353.78156011405184,1454,171
2007,21720,0,total_pre,48.16180459023418,470,63
2007,21720,1,male,36.942033032597614,233,56
2007,21720,2,female,30.389985355037894,237,49
2007,21720,4,total_post,37.39204949087636,470,63
2007,21720,12,female_male,76.9870644974241,470,63
2007,21740,0,total_pre,90.84874636954358,1269,123
2007,21740,1,male,81.93698424448698,620,122
2007,21740,2,female,71.55945798533888,648,122
2007,21740,4,total_post,89.43302585663956,1269,123
2007,21740,12,female_male,166.63627363627918,1268,123
2009,21720,0,total_pre,18.466731353260133,536,96
2009,21720,1,male,66.99731997786267,256,77
2009,21720,2,female,75.70366485461672,278,81
2009,21720,4,total_post,17.086116254146457,536,96
2009,21720,12,female_male,159.23904968625888,534,95
2009,21740,0,total_pre,104.81677508572255,1559,190
2009,21740,1,male,101.09167658845718,684,164
2009,21740,2,female,117.01875710346715,870,176
2009,21740,4,total_post,102.5980898381587,1559,190
2009,21740,12,female_male,230.09467334503367,1554,190
2011,21720,0,total_pre,125.31353566933652,803,140
2011,21720,1,male,97.08732626958783,386,112
2011,21720,2,female,86.21546413422371,417,116
2011,21720,4,total_post,117.9249994946695,803,140
2011,21720,12,female_male,216.50884955137292,803,140
2011,21740,0,total_pre,108.9075158127881,1642,160
2011,21740,1,male,83.76293732264799,696,157
2011,21740,2,female,108.46261848566209,928,158
2011,21740,4,total_post,107.65461491843509,1642,160
2011,21740,12,female_male,208.23898561648915,1624,160
2013,21720,0,total_pre,73.88618207803988,907,133
2013,21720,1,male,53.237116956886595,439,110
2013,21720,2,female,78.40845983236842,468,115
2013,21720,4,total_post,72.91268301037746,907,133
2013,21720,12,female_male,137.56725280805549,907,133
2013,21740,0,total_pre,63.54464659070848,1557,147
2013,21740,1,male,55.26783882412282,763,146
2013,21740,2,female,60.72211311771898,784,144
2013,21740,4,total_post,61.58772940688822,1557,147
2013,21740,12,female_male,153.9543628805611,1547,147
2015,21720,0,total_pre,158.98281759539933,724,69
2015,21720,1,male,89.51391232637587,348,57
2015,21720,2,female,116.29802065131781,376,63
2015,21720,4,total_post,140.09379522790545,724,69
2015,21720,12,female_male,250.32865595533085,724,69
2015,21740,0,total_pre,119.84217811034759,1149,126
2015,21740,1,male,91.33424177038279,489,115
2015,21740,2,female,106.81403595554086,657,119
2015,21740,4,total_post,115.43481560299904,1149,126
2015,21740,12,female_male,223.7274971208273,1146,125
2017,21720,0,total_pre,99.65035162924033,325,67
2017,21720,1,male,51.26231539898789,149,64
2017,21720,2,female,58.53095290634032,176,66
2017,21720,4,total_post,86.55654660643435,325,67
2017,21720,12,female_male,125.30262263073396,325,67
2017,21740,0,total_pre,18.472046710627563,885,179
2017,21740,1,male,18.07413853342007,402,158
2017,21740,2,female,17.205159308847264,473,167
2017,21740,4,total_post,18.012191912311867,885,179
2017,21740,12,female_male,44.10671129695449,875,178
2019,21720,0,total_pre,65.69458374315947,487,95
2019,21720,1,male,46.8369426444462,238,92
2019,21720,2,female,47.66677489967566,249,91
2019,21720,4,total_post,60.08911176121418,487,95
2019,21720,12,female_male,107.91927974142173,487,95
2019,21740,0,total_pre,83.63136124871546,977,195
2019,21740,1,male,86.03877772009263,442,174
2019,21740,2,female,99.65106776021767,529,183
2019,21740,4,total_post,81.08042671753942,977,195
2019,21740,12,female_male,206.2064436387156,971,195
2021,21720,0,total_pre,175.64509970927693,570,115
2021,21720,1,male,111.70798626339236,254,113
2021,21720,2,female,107.3111720422325,316,113
2021,21720,4,total_post,165.01145579456127,570,115
2021,21720,12,female_male,247.64082067811026,570,115
2021,21740,0,total_pre,94.48044680619972,1329,242
2021,21740,1,male,82.69779699022219,597,226
2021,21740,2,female,86.27000794581173,732,235
2021,21740,4,total_post,93.87400532935382,1329,242
2021,21740,12,female_male,191.27290697344569,1329,242
2023,21720,0,total_pre,355.55294047369915,1110,334
2023,21720,1,male,208.62281480333505,526,277
2023,21720,2,female,220.4629520901118,584,286
2023,21720,4,total_post,301.0480555079838,1110,334
2023,21720,12,female_male,465.26901354234604,1110,334
2023,21740,0,total_pre,161.94928992458446,1612,332
2023,21740,1,male,140.6757716820857,725,306
2023,21740,2,female,179.88831922226595,887,320
2023,21740,4,total_post,159.36428202580137,1612,332
2023,21740,12,female_male,346.88181676209945,1612,332
