year,species_code,sex,sex_desc,iss,nss,nhls
1990,21720,0,total_pre,601.7621873609993,11364,275
1990,21720,1,male,412.7206365595246,5509,273
1990,21720,2,female,481.60700509606545,5744,274
1990,21720,4,total_post,601.7621619584446,11364,275
1990,21720,12,female_male,889.7320453152421,11253,275
1990,21740,0,total_pre,460.26007480377416,42631,325
1990,21740,1,male,466.9501810682736,15014,302
1990,21740,2,female,654.0127749962514,20053,302
1990,21740,4,total_post,460.26007642827165,42631,325
1990,21740,12,female_male,1108.7833292724722,35067,303
1993,21720,0,total_pre,906.5523321758877,17069,451
1993,21720,1,male,591.7518810900355,8298,431
1993,21720,2,female,649.3188569624307,8384,433
1993,21720,4,total_post,906.5523340630949,17069,451
1993,21720,12,female_male,1241.7221746256405,16682,450
1993,21740,0,total_pre,854.3505731913692,35185,456
1993,21740,1,male,468.8987547743279,14674,426
1993,21740,2,female,672.1138604097504,18847,429
1993,21740,4,total_post,854.3505616008719,35185,456
1993,21740,12,female_male,1089.5867442569026,33521,448
1996,21720,0,total_pre,301.4262860386967,11873,528
1996,21720,1,male,184.5673260551491,5816,458
1996,21720,2,female,369.076525407065,6026,469
1996,21720,4,total_post,301.426286544014,11873,528
1996,21720,12,female_male,458.2958869501697,11842,526
1996,21740,0,total_pre,130.01493248785803,46388,649
1996,21740,1,male,262.1344486971888,17633,569
1996,21740,2,female,336.66511789445684,19470,573
1996,21740,4,total_post,130.01493318375645,46388,649
1996,21740,12,female_male,588.3830043198038,37103,627
1999,21720,0,total_pre,1411.744438865503,7797,412
1999,21720,1,male,959.2831442677854,3888,349
1999,21720,2,female,1043.5683251802034,3857,369
1999,21720,4,total_post,1411.7444565500584,7797,412
1999,21720,12,female_male,2000.1007624368701,7745,411
1999,21740,0,total_pre,439.59036504138385,23400,554
1999,21740,1,male,240.56744300528015,10508,460
1999,21740,2,female,598.9525467560352,10934,490
1999,21740,4,total_post,439.59034811402285,23400,554
1999,21740,12,female_male,449.3502349750239,21442,527
2001,21720,0,total_pre,724.3280045902446,6258,280
2001,21720,1,male,499.2798259835843,3149,244
2001,21720,2,female,541.1376750490352,3083,249
2001,21720,4,total_post,724.3279929338057,6258,280
2001,21720,12,female_male,1029.6892219575623,6232,280
2001,21740,0,total_pre,96.24938017854788,20226,301
2001,21740,1,male,92.06840838235598,9117,231
2001,21740,2,female,87.90435531979462,10253,257
2001,21740,4,total_post,96.24937948462423,20226,301
2001,21740,12,female_male,182.58319042479627,19370,283
2003,21720,0,total_pre,1755.6304633557752,9029,478
2003,21720,1,male,1161.8569123368006,4522,426
2003,21720,2,female,1054.396347060793,4506,423
2003,21720,4,total_post,1755.6302770359164,9029,478
2003,21720,12,female_male,2202.766191173698,9028,478
2003,21740,0,total_pre,883.4268819609214,24904,491
2003,21740,1,male,753.1895692367483,10507,431
2003,21740,2,female,832.7281860238232,12614,429
2003,21740,4,total_post,883.4268707355478,24904,491
2003,21740,12,female_male,1594.8880131291112,23121,485
2005,21720,0,total_pre,525.3222482673756,6480,466
2005,21720,1,male,429.48235840586864,3150,398
2005,21720,2,female,374.19682516218614,3322,416
2005,21720,4,total_post,525.3221721610387,6480,466
2005,21720,12,female_male,798.9060213959651,6472,465
2005,21740,0,total_pre,412.90786178914436,26869,508
2005,21740,1,male,692.6724379025846,9019,405
2005,21740,2,female,854.1151922452069,10746,425
2005,21740,4,total_post,412.90785953752095,26869,508
2005,21740,12,female_male,1511.424929097055,19765,476
2007,21720,0,total_pre,420.18715522919973,9054,476
2007,21720,1,male,369.4280733250747,4519,412
2007,21720,2,female,331.99792254247524,4510,415
2007,21720,4,total_post,420.18716163953934,9054,476
2007,21720,12,female_male,699.8495916071105,9029,472
2007,21740,0,total_pre,392.7327103014079,24078,549
2007,21740,1,male,316.9983499806762,9722,456
