year,species_code,sex,sex_desc,iss,nss,nhls
1990,21720,0,total_pre,740.3197381773168,11364,275
1990,21720,1,male,638.736431446728,5509,273
1990,21720,2,female,765.1306898706579,5744,274
1990,21720,4,total_post,740.3197441718601,11364,275
1990,21720,12,female_male,1403.795218772469,11253,275
1990,21740,0,total_pre,442.9776649849695,42631,325
1990,21740,1,male,511.4161285280861,15014,302
1990,21740,2,female,758.6891226458741,20053,302
1990,21740,4,total_post,442.9776649430371,42631,325
1990,21740,12,female_male,1249.943138909668,35067,303
1993,21720,0,total_pre,1180.5283146710003,17069,451
1993,21720,1,male,860.7343170583086,8298,431
1993,21720,2,female,946.4688214121587,8384,433
1993,21720,4,total_post,1180.5282805952634,17069,451
1993,21720,12,female_male,1820.7325268529485,16682,450
1993,21740,0,total_pre,960.8561945016216,35185,456
1993,21740,1,male,551.2721193107311,14674,426
1993,21740,2,female,766.6864664694834,18847,429
1993,21740,4,total_post,960.8562026801669,35185,456
1993,21740,12,female_male,1251.0149093542066,33521,448
1996,21720,0,total_pre,304.1762724293182,11873,528
1996,21720,1,male,192.6621476936471,5816,458
1996,21720,2,female,440.38599846860336,6026,469
1996,21720,4,total_post,304.17627676864606,11873,528
1996,21720,12,female_male,497.88743314960647,11842,526
1996,21740,0,total_pre,136.58423584977933,46388,649
1996,21740,1,male,293.6233108773595,17633,569
1996,21740,2,female,382.96521265884024,19470,573
1996,21740,4,total_post,136.5842365119915,46388,649
1996,21740,12,female_male,665.3962380728452,37103,627
1999,21720,0,total_pre,1912.4432101179975,7797,412
1999,21720,1,male,1410.706335193364,3888,349
1999,21720,2,female,1604.611269318249,3857,369
1999,21720,4,total_post,1912.4431293152488,7797,412
1999,21720,12,female_male,2997.5766654303925,7745,411
1999,21740,0,total_pre,486.4184269449909,23400,554
1999,21740,1,male,266.1868120106199,10508,460
1999,21740,2,female,720.324203790317,10934,490
1999,21740,4,total_post,486.4184082657776,23400,554
1999,21740,12,female_male,505.6735824749045,21442,527
2001,21720,0,total_pre,992.8051747975828,6258,280
2001,21720,1,male,755.4472947958882,3149,244
2001,21720,2,female,835.9839968994096,3083,249
2001,21720,4,total_post,992.8052607557339,6258,280
2001,21720,12,female_male,1572.8516406711408,6232,280
2001,21740,0,total_pre,108.57580773086312,20226,301
2001,21740,1,male,109.87577575907108,9117,231
2001,21740,2,female,102.5138272706398,10253,257
2001,21740,4,total_post,108.57580656626224,20226,301
2001,21740,12,female_male,217.13890055349756,19370,283
2003,21720,0,total_pre,2363.633055127651,9029,478
2003,21720,1,male,1783.6504814631026,4522,426
2003,21720,2,female,1590.2549781801974,4506,423
2003,21720,4,total_post,2363.6327820194138,9029,478
2003,21720,12,female_male,3349.3140898661086,9028,478
2003,21740,0,total_pre,880.0613830258097,24904,491
2003,21740,1,male,842.414748923132,10507,431
2003,21740,2,female,907.4772206100986,12614,429
2003,21740,4,total_post,880.0613796860549,24904,491
2003,21740,12,female_male,1761.4385453021805,23121,485
2005,21720,0,total_pre,710.4851349491091,6480,466
2005,21720,1,male,658.1503564049898,3150,398
2005,21720,2,female,558.4856474824635,3322,416
2005,21720,4,total_post,710.4850503286632,6480,466
2005,21720,12,female_male,1214.3405337508386,6472,465
2005,21740,0,total_pre,406.34927984285866,26869,508
2005,21740,1,male,796.4812228447363,9019,405
