year,species_code,sex,sex_desc,iss,nss,nhls
1990,21720,0,total_pre,162.56029060285277,493,29
1990,21720,1,male,91.1555855517199,220,26
1990,21720,2,female,121.1716938526523,273,28
1990,21720,4,total_post,142.44977891166653,493,29
1990,21720,12,female_male,233.07541712208226,493,29
1990,21740,0,total_pre,117.43754920276317,1065,38
1990,21740,1,male,83.59066830262276,503,35
1990,21740,2,female,121.33613813425728,560,35
1990,21740,4,total_post,114.32595689428393,1065,38
1990,21740,12,female_male,220.74430270990808,1063,38
1993,21720,0,total_pre,180.67371655998966,803,65
1993,21720,1,male,152.12557277594155,365,61
1993,21720,2,female,149.8296748135365,438,63
1993,21720,4,total_post,181.04359245677995,803,65
1993,21720,12,female_male,336.2925548056454,803,65
1993,21740,0,total_pre,226.6587350803057,1898,64
1993,21740,1,male,169.22593149276588,868,62
1993,21740,2,female,233.19739991938073,1007,58
1993,21740,4,total_post,224.34569779565868,1898,64
1993,21740,12,female_male,403.72236904971436,1875,64
1996,21720,0,total_pre,49.924638112001404,771,87
1996,21720,1,male,29.974182536393965,386,68
1996,21720,2,female,69.9701768491164,385,77
1996,21720,4,total_post,46.94514959600699,771,87
1996,21720,12,female_male,84.08350941683736,771,87
1996,21740,0,total_pre,55.92388113278444,1013,70
1996,21740,1,male,66.76015616258982,483,64
1996,21740,2,female,100.3004523203445,527,64
1996,21740,4,total_post,55.335829616509145,1013,70
1996,21740,12,female_male,169.98304351334986,1010,70
1999,21720,0,total_pre,251.36596896977989,664,66
1999,21720,1,male,165.4127690924145,296,54
1999,21720,2,female,184.6213253436231,368,59
1999,21720,4,total_post,248.04986222813918,664,66
1999,21720,12,female_male,384.95803154561537,664,66
1999,21740,0,total_pre,120.20883443068409,1191,114
1999,21740,1,male,72.33544318628289,525,88
1999,21740,2,female,159.47090580753337,584,100
1999,21740,4,total_post,111.55422417326223,1191,114
1999,21740,12,female_male,157.99932234866031,1109,106
2001,21720,0,total_pre,142.15432936173053,733,149
2001,21720,1,male,126.19713217439762,353,117
2001,21720,2,female,127.27493401591036,380,122
2001,21720,4,total_post,139.74839796785741,733,149
2001,21720,12,female_male,270.7274617467023,733,149
2001,21740,0,total_pre,36.66518728512697,887,125
