year,species_code,sex,sex_desc,iss,nss,nhls
1990,21720,0,total_pre,756.9843568505211,11364,275
1990,21720,1,male,654.2578543429713,5509,273
1990,21720,2,female,765.8358817975511,5744,274
1990,21720,4,total_post,756.9843644655604,11364,275
1990,21720,12,female_male,1421.4926483108443,11253,275
1990,21740,0,total_pre,456.55911712643996,42631,325
1990,21740,1,male,509.5039161522512,15014,302
1990,21740,2,female,745.52505366517,20053,302
1990,21740,4,total_post,456.55912063930595,42631,325
1990,21740,12,female_male,1239.534469420553,35067,303
1993,21720,0,total_pre,1169.7879595300715,17069,451
1993,21720,1,male,862.6647472575968,8298,431
1993,21720,2,female,951.3825210825407,8384,433
1993,21720,4,total_post,1169.7880047351914,17069,451
1993,21720,12,female_male,1827.7660886751366,16682,450
1993,21740,0,total_pre,996.1345836589265,35185,456
1993,21740,1,male,555.6501102329111,14674,426
1993,21740,2,female,804.3266425080017,18847,429
1993,21740,4,total_post,996.1345831869154,35185,456
1993,21740,12,female_male,1301.0248582998242,33521,448
1996,21720,0,total_pre,353.51901633843755,11873,528
1996,21720,1,male,222.56632397408228,5816,458
1996,21720,2,female,497.30229646640055,6026,469
1996,21720,4,total_post,353.519025790931,11873,528
1996,21720,12,female_male,570.2655674659518,11842,526
1996,21740,0,total_pre,130.0097836555444,46388,649
1996,21740,1,male,282.15988458617676,17633,569
1996,21740,2,female,364.2628918878978,19470,573
1996,21740,4,total_post,130.00978353574675,46388,649
1996,21740,12,female_male,634.4973691186259,37103,627
1999,21720,0,total_pre,1859.0444170680485,7797,412
1999,21720,1,male,1358.6099302747862,3888,349
1999,21720,2,female,1592.3126213752068,3857,369
1999,21720,4,total_post,1859.0442392882392,7797,412
1999,21720,12,female_male,2926.6566072772866,7745,411
1999,21740,0,total_pre,487.5783353131437,23400,554
1999,21740,1,male,265.6069549803375,10508,460
1999,21740,2,female,724.9361750470554,10934,490
1999,21740,4,total_post,487.57831188474444,23400,554
1999,21740,12,female_male,505.95351976301396,21442,527
2001,21720,0,total_pre,955.637044141355,6258,280
2001,21720,1,male,728.0877793304795,3149,244
2001,21720,2,female,812.0713820033001,3083,249
2001,21720,4,total_post,955.6370990426444,6258,280
2001,21720,12,female_male,1519.594848147723,6232,280
2001,21740,0,total_pre,96.54648296485605,20226,301
2001,21740,1,male,99.17865189548097,9117,231
2001,21740,2,female,92.995406007148,10253,257
2001,21740,4,total_post,96.54648381965787,20226,301
2001,21740,12,female_male,196.79473743861763,19370,283
2003,21720,0,total_pre,2422.62151455768,9029,478
2003,21720,1,male,1839.8100170669677,4522,426
2003,21720,2,female,1609.900276165025,4506,423
2003,21720,4,total_post,2422.6212995743217,9029,478
2003,21720,12,female_male,3418.039099566278,9028,478
2003,21740,0,total_pre,981.950748951152,24904,491
2003,21740,1,male,910.0908541483749,10507,431
2003,21740,2,female,994.7795189909627,12614,429
2003,21740,4,total_post,981.9507510557517,24904,491
2003,21740,12,female_male,1916.3132046482729,23121,485
2005,21720,0,total_pre,667.3109253275326,6480,466
2005,21720,1,male,631.6037731608568,3150,398
2005,21720,2,female,514.0437072274406,3322,416
2005,21720,4,total_post,667.3108755921638,6480,466
2005,21720,12,female_male,1137.3288248964577,6472,465
2005,21740,0,total_pre,412.9124096646195,26869,508
2005,21740,1,male,822.6050588416462,9019,405
2005,21740,2,female,1034.1584660753008,10746,425
2005,21740,4,total_post,412.9124094176905,26869,508
2005,21740,12,female_male,1815.9087692068647,19765,476
2007,21720,0,total_pre,512.6645535520408,9054,476
2007,21720,1,male,473.9766768456556,4519,412
2007,21720,2,female,436.3016289725599,4510,415
2007,21720,4,total_post,512.6645648140812,9054,476
2007,21720,12,female_male,912.305762174091,9029,472
2007,21740,0,total_pre,437.7222086639163,24078,549
2007,21740,1,male,361.4398616449058,9722,456
2007,21740,2,female,383.4212644960116,11391,461
2007,21740,4,total_post,437.72221851195366,24078,549
2007,21740,12,female_male,748.6388618384002,21113,509
2009,21720,0,total_pre,110.92523444186256,17137,551
2009,21720,1,male,612.9229711020586,8384,497
2009,21720,2,female,630.3301587842001,8351,508
2009,21720,4,total_post,110.92523554409459,17137,551
2009,21720,12,female_male,1222.998617228384,16735,547
2009,21740,0,total_pre,429.3596123167377,30317,559
2009,21740,1,male,407.79735561941,12759,463
2009,21740,2,female,532.8700085357608,14463,495
2009,21740,4,total_post,429.35961447053455,30317,559
2009,21740,12,female_male,924.7196557921349,27222,540
2011,21720,0,total_pre,791.432676936409,11746,466
2011,21720,1,male,729.9314172565392,5932,409
2011,21720,2,female,622.9955421970001,5779,425
2011,21720,4,total_post,791.4327001658983,11746,466
2011,21720,12,female_male,1359.4149466192962,11711,462
2011,21740,0,total_pre,477.08618954288875,27151,489
2011,21740,1,male,390.26145584456987,11788,432
2011,21740,2,female,490.6898090849062,13720,439
2011,21740,4,total_post,477.0861856193518,27151,489
2011,21740,12,female_male,882.4043073201589,25508,479
2013,21720,0,total_pre,523.5627492042597,10208,371
2013,21720,1,male,421.77586871568207,5199,335
2013,21720,2,female,510.07986929002993,4862,349
2013,21720,4,total_post,523.5627458404363,10208,371
2013,21720,12,female_male,917.6990126678955,10061,371
2013,21740,0,total_pre,169.4187744384464,31872,435
2013,21740,1,male,154.670134107561,14936,387
2013,21740,2,female,169.09330342445782,16677,397
2013,21740,4,total_post,169.41877364382327,31872,435
2013,21740,12,female_male,332.33334386396945,31613,430
2015,21720,0,total_pre,1898.5213862928329,10958,510
2015,21720,1,male,1561.4032122729805,5454,447
2015,21720,2,female,1517.7552011484725,5498,459
2015,21720,4,total_post,1898.5213677245758,10958,510
2015,21720,12,female_male,3101.9998042029965,10952,510
2015,21740,0,total_pre,514.340570886487,27513,600
2015,21740,1,male,426.04129759091774,12128,514
2015,21740,2,female,523.8644297973711,15132,527
2015,21740,4,total_post,514.3405743612778,27513,600
2015,21740,12,female_male,960.8833921332653,27260,587
2017,21720,0,total_pre,1062.539949904148,2566,266
2017,21720,1,male,621.6471695738417,1213,216
2017,21720,2,female,787.5400462415894,1349,235
2017,21720,4,total_post,1062.539956329277,2566,266
2017,21720,12,female_male,1402.2296669046523,2562,266
2017,21740,0,total_pre,149.12531882666576,13681,420
2017,21740,1,male,128.47052396130505,5141,329
2017,21740,2,female,118.03348821469578,6248,337
2017,21740,4,total_post,149.12531873049593,13681,420
2017,21740,12,female_male,236.18737140294309,11389,389
2019,21720,0,total_pre,442.79252646169556,3714,314
2019,21720,1,male,384.6185410860076,1839,253
2019,21720,2,female,353.57637286592865,1852,277
2019,21720,4,total_post,442.7925200065717,3714,314
2019,21720,12,female_male,734.9129579852106,3691,311
2019,21740,0,total_pre,356.6963394593805,16468,443
2019,21740,1,male,314.18181240572784,6980,382
2019,21740,2,female,498.0787423078558,8721,384
2019,21740,4,total_post,356.6963407718528,16468,443
2019,21740,12,female_male,790.7222075961282,15701,431
