year,species_code,sex,sex_desc,iss,nss,nhls
1982,21740,0,total_pre,161.37117702161765,1500,81
1982,21740,1,male,93.20512686455486,654,65
1982,21740,2,female,123.27878516524606,742,71
1982,21740,4,total_post,160.6176181611696,1500,81
1982,21740,12,female_male,239.42299483725728,1396,76
1983,21740,0,total_pre,139.4138354987085,1931,95
1983,21740,1,male,64.92661211045908,931,88
1983,21740,2,female,86.39674135746574,990,85
1983,21740,4,total_post,132.43251427775218,1931,95
1983,21740,12,female_male,166.1556545685543,1921,94
1984,21720,0,total_pre,47.086130040282235,316,18
1984,21720,1,male,45.66429458977121,187,18
1984,21720,2,female,25.57715920405632,129,18
1984,21720,4,total_post,49.24688199029515,316,18
1984,21720,12,female_male,71.90419195715754,316,18
1984,21740,0,total_pre,62.64205826153034,1806,116
1984,21740,1,male,53.21885563566631,826,100
1984,21740,2,female,46.058813633460055,943,110
1984,21740,4,total_post,62.13114013735761,1806,116
1984,21740,12,female_male,111.16199535516148,1769,115
1985,21740,0,total_pre,77.1383674682393,1890,81
1985,21740,1,male,89.77152190655443,852,72
1985,21740,2,female,83.48074823398854,1002,76
1985,21740,4,total_post,75.0139885872991,1890,81
1985,21740,12,female_male,187.42690949784813,1854,81
1986,21740,0,total_pre,153.64881444762136,1344,45
1986,21740,1,male,97.10881222234681,608,44
1986,21740,2,female,99.40411422631608,702,44
1986,21740,4,total_post,155.95078982068725,1344,45
1986,21740,12,female_male,212.12965219848303,1310,45
1987,21740,0,total_pre,63.440069922019255,1547,34
1987,21740,1,male,50.94563655521018,698,31
1987,21740,2,female,50.4429291282847,819,33
1987,21740,4,total_post,61.397790155689435,1547,34
1987,21740,12,female_male,110.08767402490291,1517,34
1988,21720,0,total_pre,177.02460162721192,639,27
1988,21720,1,male,98.8693026739313,316,27
1988,21720,2,female,93.40325452423217,323,27
1988,21720,4,total_post,151.68760905420723,639,27
1988,21720,12,female_male,204.35852748381012,639,27
1988,21740,0,total_pre,83.99913673116092,1173,26
1988,21740,1,male,60.14739136954024,572,26
1988,21740,2,female,57.298382366301986,587,26
1988,21740,4,total_post,84.42657392515905,1173,26
1988,21740,12,female_male,124.80216040252898,1159,26
1989,21720,0,total_pre,163.27957740331513,703,40
1989,21720,1,male,97.39586953452194,363,38
1989,21720,2,female,91.2767416880196,334,37
1989,21720,4,total_post,149.22099164724403,703,40
1989,21720,12,female_male,200.31039990755346,697,40
1989,21740,0,total_pre,56.7125336171074,1227,38
1989,21740,1,male,42.159998824412895,530,36
1989,21740,2,female,42.453333307944455,608,36
1989,21740,4,total_post,54.43627721228467,1227,38
1989,21740,12,female_male,90.53132643199591,1138,37
1990,21720,0,total_pre,95.29734030781378,793,72
1990,21720,1,male,80.306900649678,400,67
1990,21720,2,female,58.71585762465177,393,69
1990,21720,4,total_post,79.24949185767548,793,72
1990,21720,12,female_male,142.47191938765198,793,72
1990,21740,0,total_pre,48.51068663497764,1257,46
1990,21740,1,male,36.869831043667325,573,46
1990,21740,2,female,29.630096404209226,623,45
1990,21740,4,total_post,47.83288764072553,1257,46
1990,21740,12,female_male,72.67165286677701,1196,46
1991,21720,0,total_pre,123.30965637855525,659,43
1991,21720,1,male,75.65788982312002,309,40
1991,21720,2,female,79.46694142446486,350,40
1991,21720,4,total_post,112.65589954645685,659,43
1991,21720,12,female_male,170.74176271525775,659,43
1991,21740,0,total_pre,84.34603160198682,1063,46
1991,21740,1,male,44.97287282012938,515,45
1991,21740,2,female,41.03427521243941,494,40
1991,21740,4,total_post,78.77456016632345,1063,46
1991,21740,12,female_male,91.26549302663658,1009,45
1992,21720,0,total_pre,121.65717904948595,717,26
1992,21720,1,male,90.11542435911792,368,24
1992,21720,2,female,91.82792629571671,349,25
1992,21720,4,total_post,106.58015555076864,717,26
1992,21720,12,female_male,196.4962665141629,717,26
1992,21740,0,total_pre,86.57821423585283,1263,30
1992,21740,1,male,77.68241945676682,595,30
1992,21740,2,female,74.41701458062064,638,30
1992,21740,4,total_post,82.48099330922524,1263,30
1992,21740,12,female_male,161.23115472943118,1233,30
