year,species_code,sex,sex_desc,iss,nss,nhls
1982,21720,0,total_pre,2435.4743552237182,10863,313
1982,21720,1,male,1387.6015372292743,5288,300
1982,21720,2,female,1412.1368082269726,5434,307
1982,21720,4,total_post,2435.4743883797355,10863,313
1982,21720,12,female_male,2805.2796778566812,10722,310
1982,21740,0,total_pre,1243.7227475861087,42182,308
1982,21740,1,male,924.8855664591584,16896,276
1982,21740,2,female,1021.0740115345444,17356,275
1982,21740,4,total_post,1243.7227470153937,42182,308
1982,21740,12,female_male,1951.9893980760846,34252,289
1983,21720,0,total_pre,1183.693394059584,13143,255
1983,21720,1,male,1191.040038912167,5124,249
1983,21720,2,female,1151.476343027465,4856,252
1983,21720,4,total_post,1183.6934073493676,13143,255
1983,21720,12,female_male,2338.286600512241,9980,254
1983,21740,0,total_pre,1431.5598274921947,165834,328
1983,21740,1,male,1416.3387357856689,33406,316
1983,21740,2,female,1719.2011512995514,34195,315
1983,21740,4,total_post,1431.5598280482277,165834,328
1983,21740,12,female_male,3040.6752218837223,67601,320
1984,21720,0,total_pre,2436.722532204866,12133,264
1984,21720,1,male,1565.071957895417,6090,259
1984,21720,2,female,1512.1588538362378,5946,259
1984,21720,4,total_post,2436.722506877457,12133,264
1984,21720,12,female_male,3079.036468997628,12036,263
1984,21740,0,total_pre,1888.5823077147631,51847,330
1984,21740,1,male,1271.2201152293599,21241,299
1984,21740,2,female,1503.401722608432,23002,299
1984,21740,4,total_post,1888.582307274147,51847,330
1984,21740,12,female_male,2725.5495491983597,44243,312
1985,21720,0,total_pre,832.5134423808487,16921,345
1985,21720,1,male,662.2825863822073,7522,329
1985,21720,2,female,697.9473682383184,7177,325
1985,21720,4,total_post,832.5134505504815,16921,345
1985,21720,12,female_male,1362.9763521102768,14699,331
1985,21740,0,total_pre,315.1805039369519,209638,346
1985,21740,1,male,496.3155725358129,40059,306
1985,21740,2,female,559.7428893445137,46746,316
1985,21740,4,total_post,315.18050359396284,209638,346
1985,21740,12,female_male,1065.7621737071972,86805,326
1986,21720,0,total_pre,1996.2738479452328,15872,349
1986,21720,1,male,1261.4483694288322,7226,324
1986,21720,2,female,1336.6946084702042,7165,324
1986,21720,4,total_post,1996.2738416276018,15872,349
1986,21720,12,female_male,2592.281783884623,14391,331
1986,21740,0,total_pre,1452.5734163778636,137690,346
1986,21740,1,male,1025.0086076815373,36163,311
1986,21740,2,female,1319.3915145024596,35186,323
1986,21740,4,total_post,1452.573416969824,137690,346
1986,21740,12,female_male,2292.499227301184,71349,330
1987,21720,0,total_pre,2095.837346577311,9483,339
1987,21720,1,male,1177.9692893068845,4703,334
1987,21720,2,female,1100.876884571726,4547,332
1987,21720,4,total_post,2095.8373864543587,9483,339
1987,21720,12,female_male,2272.889950875518,9250,338
1987,21740,0,total_pre,1492.3181033014962,38518,329
1987,21740,1,male,1122.6778409172828,17400,311
1987,21740,2,female,1217.7250789855332,16963,325
1987,21740,4,total_post,1492.318102530864,38518,329
1987,21740,12,female_male,2311.3581885668905,34363,327
1988,21720,0,total_pre,1640.5458619354808,6765,339
1988,21720,1,male,875.663839726323,3381,307
1988,21720,2,female,855.1474675915091,3335,316
1988,21720,4,total_post,1640.5458765989465,6765,339
1988,21720,12,female_male,1725.0926914315737,6716,338
1988,21740,0,total_pre,2049.6596213027224,101211,361
1988,21740,1,male,1257.5392640263938,39152,326
1988,21740,2,female,1707.7774996556466,42165,334
1988,21740,4,total_post,2049.65961942218,101211,361
1988,21740,12,female_male,2739.8606057423535,81317,343
1989,21720,0,total_pre,1186.311323171248,4246,293
1989,21720,1,male,629.9052227638335,2144,276
1989,21720,2,female,615.9339180862571,2083,269
1989,21720,4,total_post,1186.3113306055952,4246,293
1989,21720,12,female_male,1243.1159844148717,4227,291
1989,21740,0,total_pre,1715.1474249128662,79967,350
1989,21740,1,male,1346.7240618751155,31819,334
1989,21740,2,female,1242.452017913196,29380,337
1989,21740,4,total_post,1715.1474218877638,79967,350
1989,21740,12,female_male,2475.6200332963867,61199,349
1990,21720,0,total_pre,1195.032058682563,5428,329
1990,21720,1,male,615.1306137193209,2389,300
1990,21720,2,female,646.8009723481797,2388,298
1990,21720,4,total_post,1195.0320459314264,5428,329
1990,21720,12,female_male,1254.041593649011,4777,317
1990,21740,0,total_pre,1359.303432049963,106523,353
1990,21740,1,male,986.6137671300759,36950,314
1990,21740,2,female,1188.7424863655133,37108,321
1990,21740,4,total_post,1359.3034300435957,106523,353
1990,21740,12,female_male,2069.5996751809307,74058,333
1991,21720,0,total_pre,1158.9302383934369,7001,313
1991,21720,1,male,919.3104351325791,3226,287
1991,21720,2,female,925.3629774722278,3231,292
1991,21720,4,total_post,1158.9302283294944,7001,313
1991,21720,12,female_male,1840.7745003343823,6457,311
1991,21740,0,total_pre,872.7665603377651,137950,366
1991,21740,1,male,650.5245496083683,36019,327
1991,21740,2,female,561.4603946342047,33280,336
1991,21740,4,total_post,872.766561072443,137950,366
1991,21740,12,female_male,1207.214812022619,69299,345
1992,21720,0,total_pre,761.8068700985056,10129,332
1992,21720,1,male,763.4956695826581,4896,319
1992,21720,2,female,711.9253654020114,4658,315
1992,21720,4,total_post,761.8068699194874,10129,332
1992,21720,12,female_male,1473.6750757787108,9554,331
1992,21740,0,total_pre,749.7848073835013,61165,343
1992,21740,1,male,680.7763203341632,19840,306
1992,21740,2,female,713.2807036672032,19615,308
1992,21740,4,total_post,749.7848089770894,61165,343
1992,21740,12,female_male,1393.0580736723196,39455,318
1993,21720,0,total_pre,788.6648625950864,10500,363
1993,21720,1,male,644.6708560304897,4654,342
1993,21720,2,female,742.008410796139,4378,332
1993,21720,4,total_post,788.6648676022309,10500,363
1993,21720,12,female_male,1361.3143426748904,9032,353
1993,21740,0,total_pre,1071.2146863729688,167268,367
1993,21740,1,male,1722.778922953135,44342,335
1993,21740,2,female,1740.7516110412714,43459,344
