year,species_code,sex,sex_desc,iss,nss,nhls
1982,21740,0,total_pre,210.7053555503194,1500,81
1982,21740,1,male,132.79818447539856,654,65
1982,21740,2,female,164.1262622474549,742,71
1982,21740,4,total_post,208.68009962766658,1500,81
1982,21740,12,female_male,338.2153077648541,1396,76
1983,21740,0,total_pre,266.2672279235676,1931,95
1983,21740,1,male,161.8413225080799,931,88
1983,21740,2,female,165.1319166323197,990,85
1983,21740,4,total_post,263.0815443817347,1931,95
1983,21740,12,female_male,376.0121471446583,1921,94
1984,21720,0,total_pre,115.15435748098658,316,18
1984,21720,1,male,67.6674703245799,187,18
1984,21720,2,female,41.10849070115298,129,18
1984,21720,4,total_post,80.61047406224813,316,18
1984,21720,12,female_male,122.73634500763781,316,18
1984,21740,0,total_pre,320.4313780078956,1806,116
1984,21740,1,male,159.92658995851633,826,100
1984,21740,2,female,191.72964959388554,943,110
1984,21740,4,total_post,309.8194672806997,1806,116
1984,21740,12,female_male,400.28901248702726,1769,115
1985,21740,0,total_pre,81.30380674708837,1890,81
1985,21740,1,male,126.20028686378345,852,72
1985,21740,2,female,115.69763037051737,1002,76
1985,21740,4,total_post,81.02397034515683,1890,81
1985,21740,12,female_male,263.0535959415386,1854,81
1986,21740,0,total_pre,206.5054609511715,1344,45
1986,21740,1,male,112.33457775895246,608,44
1986,21740,2,female,154.1422128909003,702,44
1986,21740,4,total_post,207.17380056205835,1344,45
1986,21740,12,female_male,280.0412576704106,1310,45
1987,21740,0,total_pre,190.19737061945364,1547,34
1987,21740,1,male,118.30933230721237,698,31
1987,21740,2,female,152.43740123712877,819,33
1987,21740,4,total_post,181.03583287333848,1547,34
1987,21740,12,female_male,289.13332449264624,1517,34
1988,21720,0,total_pre,240.3228175635048,639,27
1988,21720,1,male,140.15616364255294,316,27
1988,21720,2,female,117.8558386521222,323,27
1988,21720,4,total_post,192.35447610557824,639,27
1988,21720,12,female_male,279.7549041823448,639,27
1988,21740,0,total_pre,199.13636938106882,1173,26
1988,21740,1,male,111.38441216375841,572,26
1988,21740,2,female,114.07163658319433,587,26
1988,21740,4,total_post,187.14517425740942,1173,26
1988,21740,12,female_male,239.6389014490278,1159,26
1989,21720,0,total_pre,264.0541687805612,703,40
1989,21720,1,male,137.69934808348646,363,38
1989,21720,2,female,129.09876788937373,334,37
1989,21720,4,total_post,207.79335055865565,703,40
1989,21720,12,female_male,286.4819915798374,697,40
1989,21740,0,total_pre,271.8272532658444,1227,38
1989,21740,1,male,142.47991140819687,530,36
1989,21740,2,female,163.50559802112534,608,36
1989,21740,4,total_post,255.94455355443296,1227,38
1989,21740,12,female_male,323.8198132885354,1138,37
1990,21720,0,total_pre,178.83024046367535,793,72
1990,21720,1,male,123.6779108701039,400,67
1990,21720,2,female,105.5803205610173,393,69
