year,species_code,sex,sex_desc,iss,nss,nhls
1982,21740,0,total_pre,170.91872587310414,1500,81
1982,21740,1,male,106.46192447428399,654,65
1982,21740,2,female,130.59256317390594,742,71
1982,21740,4,total_post,169.6224223399917,1500,81
1982,21740,12,female_male,266.06121976565754,1396,76
1983,21740,0,total_pre,144.19679774510587,1931,95
1983,21740,1,male,80.64992514373508,931,88
1983,21740,2,female,108.0691164200807,990,85
1983,21740,4,total_post,148.39974682655205,1931,95
1983,21740,12,female_male,207.66162187310888,1921,94
1984,21720,0,total_pre,50.08906298626766,316,18
1984,21720,1,male,46.897086503168595,187,18
1984,21720,2,female,27.42380720431344,129,18
1984,21720,4,total_post,50.04789864195418,316,18
1984,21720,12,female_male,78.20867945053348,316,18
1984,21740,0,total_pre,64.02481656592295,1806,116
1984,21740,1,male,56.4042599554893,826,100
1984,21740,2,female,46.03847973458373,943,110
1984,21740,4,total_post,62.58256730604309,1806,116
1984,21740,12,female_male,114.32345554822628,1769,115
1985,21740,0,total_pre,87.94705128034784,1890,81
1985,21740,1,male,101.18210748635339,852,72
1985,21740,2,female,100.02837362117461,1002,76
1985,21740,4,total_post,86.93528202983475,1890,81
1985,21740,12,female_male,218.73286244686798,1854,81
1986,21740,0,total_pre,171.7971224438343,1344,45
1986,21740,1,male,107.3888648093977,608,44
1986,21740,2,female,111.55613199288712,702,44
1986,21740,4,total_post,170.2809548194372,1344,45
1986,21740,12,female_male,235.92952702596648,1310,45
1987,21740,0,total_pre,66.08414764702223,1547,34
1987,21740,1,male,53.18824575501796,698,31
1987,21740,2,female,53.83112458928072,819,33
1987,21740,4,total_post,63.68806868934088,1547,34
1987,21740,12,female_male,116.04881591273094,1517,34
1988,21720,0,total_pre,197.87634375301772,639,27
1988,21720,1,male,125.25531671831646,316,27
1988,21720,2,female,112.06363580973634,323,27
1988,21720,4,total_post,178.47038156795344,639,27
1988,21720,12,female_male,254.03341774989042,639,27
1988,21740,0,total_pre,91.51329552039527,1173,26
1988,21740,1,male,66.34732885308561,572,26
1988,21740,2,female,60.98343951972708,587,26
1988,21740,4,total_post,87.48565023014498,1173,26
1988,21740,12,female_male,135.7986999440868,1159,26
1989,21720,0,total_pre,194.7874325994366,703,40
1989,21720,1,male,111.65942193653345,363,38
1989,21720,2,female,108.66349507944169,334,37
1989,21720,4,total_post,177.19576580814135,703,40
1989,21720,12,female_male,236.61373379505233,697,40
1989,21740,0,total_pre,58.436166244279825,1227,38
1989,21740,1,male,45.86327385320962,530,36
1989,21740,2,female,45.168986228779104,608,36
1989,21740,4,total_post,57.56974843219424,1227,38
1989,21740,12,female_male,97.58702820408601,1138,37
1990,21720,0,total_pre,113.03458128055644,793,72
1990,21720,1,male,98.98444829480125,400,67
1990,21720,2,female,70.56759688741646,393,69
1990,21720,4,total_post,93.8210275984692,793,72
1990,21720,12,female_male,174.13190254654924,793,72
1990,21740,0,total_pre,51.41269262123279,1257,46
1990,21740,1,male,39.044554044868846,573,46
1990,21740,2,female,31.357343744333857,623,45
1990,21740,4,total_post,50.29840749573642,1257,46
1990,21740,12,female_male,77.09811621296822,1196,46
1991,21720,0,total_pre,138.5059725877197,659,43
1991,21720,1,male,89.3857066773618,309,40
1991,21720,2,female,89.12545993709212,350,40
1991,21720,4,total_post,126.622551503385,659,43
1991,21720,12,female_male,200.3373644244556,659,43
1991,21740,0,total_pre,89.57178180086692,1063,46
1991,21740,1,male,48.776186652360536,515,45
1991,21740,2,female,43.56445095385566,494,40
1991,21740,4,total_post,83.88501367459097,1063,46
1991,21740,12,female_male,97.91414479041723,1009,45
