year,species_code,sex,sex_desc,iss,nss,nhls
1982,21720,0,total_pre,3620.585693334698,10863,313
1982,21720,1,male,2279.731619448609,5288,300
1982,21720,2,female,2364.2873500715964,5434,307
1982,21720,4,total_post,3620.585639712095,10863,313
1982,21720,12,female_male,4658.031466213604,10722,310
1982,21740,0,total_pre,1312.616450435237,42182,308
1982,21740,1,male,1056.4317957792762,16896,276
1982,21740,2,female,1146.9776204852112,17356,275
1982,21740,4,total_post,1312.616450701362,42182,308
1982,21740,12,female_male,2214.511210182456,34252,289
1983,21720,0,total_pre,1377.3381871839038,13143,255
1983,21720,1,male,1893.663670020448,5124,249
1983,21720,2,female,1836.6275563903769,4856,252
1983,21720,4,total_post,1377.3381822658055,13143,255
1983,21720,12,female_male,3720.5674454842306,9980,254
1983,21740,0,total_pre,1501.368576243789,165834,328
1983,21740,1,male,1732.3155535063693,33406,316
1983,21740,2,female,2163.7976846536167,34195,315
1983,21740,4,total_post,1501.3685770392292,165834,328
1983,21740,12,female_male,3787.563832577302,67601,320
1984,21720,0,total_pre,3294.9334626701702,12133,264
1984,21720,1,male,2408.2514428357026,6090,259
1984,21720,2,female,2322.810403016105,5946,259
1984,21720,4,total_post,3294.933453902278,12133,264
1984,21720,12,female_male,4742.919165891188,12036,263
1984,21740,0,total_pre,2088.8220411065104,51847,330
1984,21740,1,male,1528.3278006587254,21241,299
1984,21740,2,female,1795.134210312298,23002,299
1984,21740,4,total_post,2088.8220397234286,51847,330
1984,21740,12,female_male,3256.4592409402694,44243,312
1985,21720,0,total_pre,1023.2991067974833,16921,345
1985,21720,1,male,844.2271676911867,7522,329
1985,21720,2,female,949.9426310207298,7177,325
1985,21720,4,total_post,1023.2991130898494,16921,345
1985,21720,12,female_male,1791.9934668055178,14699,331
1985,21740,0,total_pre,350.94871406355946,209638,346
1985,21740,1,male,606.0431012391975,40059,306
1985,21740,2,female,698.8470128930514,46746,316
1985,21740,4,total_post,350.94871351414974,209638,346
1985,21740,12,female_male,1316.9895913100734,86805,326
1986,21720,0,total_pre,2673.819022509422,15872,349
1986,21720,1,male,1899.730686133089,7226,324
1986,21720,2,female,2055.1078144834937,7165,324
1986,21720,4,total_post,2673.819030080622,15872,349
1986,21720,12,female_male,3941.5148251662167,14391,331
1986,21740,0,total_pre,1524.0013648096888,137690,346
1986,21740,1,male,1145.4091072561341,36163,311
1986,21740,2,female,1557.4800875664473,35186,323
1986,21740,4,total_post,1524.0013649723564,137690,346
1986,21740,12,female_male,2624.999398758964,71349,330
1987,21720,0,total_pre,3389.6277438270117,9483,339
1987,21720,1,male,2078.7568910003733,4703,334
1987,21720,2,female,1923.663508832542,4547,332
1987,21720,4,total_post,3389.6277295695536,9483,339
1987,21720,12,female_male,4000.2967803971687,9250,338
