year,species_code,sex,sex_desc,iss,nss,nhls
1982,21740,0,total_pre,219.44764992133963,1500,81
1982,21740,1,male,151.3879957579885,654,65
1982,21740,2,female,187.782324945266,742,71
1982,21740,4,total_post,217.5901765911622,1500,81
1982,21740,12,female_male,386.9428001082333,1396,76
1983,21740,0,total_pre,313.408051237427,1931,95
1983,21740,1,male,259.7330622117043,931,88
1983,21740,2,female,303.666945202346,990,85
1983,21740,4,total_post,310.312312137637,1931,95
1983,21740,12,female_male,631.1088968085519,1921,94
1984,21720,0,total_pre,192.89270232771156,316,18
1984,21720,1,male,119.47918500487269,187,18
1984,21720,2,female,60.297742664330016,129,18
1984,21720,4,total_post,129.8011022052449,316,18
1984,21720,12,female_male,191.8808593219106,316,18
1984,21740,0,total_pre,428.2157002254336,1806,116
1984,21740,1,male,254.73051363234066,826,100
1984,21740,2,female,289.44254475554095,943,110
1984,21740,4,total_post,424.0425697374732,1806,116
1984,21740,12,female_male,614.0393156059389,1769,115
1985,21740,0,total_pre,99.60362389355194,1890,81
1985,21740,1,male,166.0836806731303,852,72
1985,21740,2,female,139.12882487653877,1002,76
1985,21740,4,total_post,99.33059375794814,1890,81
1985,21740,12,female_male,328.2123117684794,1854,81
1986,21740,0,total_pre,256.14168296136097,1344,45
1986,21740,1,male,164.58502524626817,608,44
1986,21740,2,female,234.22138132630732,702,44
1986,21740,4,total_post,258.73367428789396,1344,45
1986,21740,12,female_male,415.23360792666597,1310,45
1987,21740,0,total_pre,239.8009103025845,1547,34
1987,21740,1,male,168.64182473037934,698,31
1987,21740,2,female,223.9079083835609,819,33
1987,21740,4,total_post,232.49823953572266,1547,34
1987,21740,12,female_male,417.7797668712621,1517,34
1988,21720,0,total_pre,375.8857590718137,639,27
1988,21720,1,male,255.171573219143,316,27
1988,21720,2,female,204.8153881621859,323,27
1988,21720,4,total_post,312.18916019546555,639,27
1988,21720,12,female_male,491.28063173457343,639,27
1988,21740,0,total_pre,246.42585238103825,1173,26
1988,21740,1,male,153.2578866931731,572,26
1988,21740,2,female,154.84955762492166,587,26
1988,21740,4,total_post,234.03214158158545,1173,26
1988,21740,12,female_male,326.70581170838403,1159,26
1989,21720,0,total_pre,433.2885040605407,703,40
1989,21720,1,male,234.94946823805765,363,38
1989,21720,2,female,232.93443440105327,334,37
1989,21720,4,total_post,354.55027820605704,703,40
1989,21720,12,female_male,499.6016997512735,697,40
1989,21740,0,total_pre,419.9496517515194,1227,38
1989,21740,1,male,272.6791745356938,530,36
1989,21740,2,female,245.79556965366638,608,36
1989,21740,4,total_post,393.40370924977003,1227,38
1989,21740,12,female_male,549.434225853824,1138,37
1990,21720,0,total_pre,249.59193466548282,793,72
1990,21720,1,male,193.18709379978398,400,67
1990,21720,2,female,146.13941067155218,393,69
1990,21720,4,total_post,187.17198596197662,793,72
1990,21720,12,female_male,349.0183846846987,793,72
1990,21740,0,total_pre,326.47508150151543,1257,46
1990,21740,1,male,278.87815997771867,573,46
1990,21740,2,female,337.4822767105557,623,45
1990,21740,4,total_post,329.4927341747823,1257,46
1990,21740,12,female_male,654.5253882656145,1196,46
1991,21720,0,total_pre,208.67487132568166,659,43
1991,21720,1,male,166.96252943556945,309,40
1991,21720,2,female,141.30812943170483,350,40
1991,21720,4,total_post,184.66104885367045,659,43
1991,21720,12,female_male,346.3455902354905,659,43
1991,21740,0,total_pre,208.49386126594592,1063,46
1991,21740,1,male,129.72676617419208,515,45
1991,21740,2,female,119.55097673438131,494,40
1991,21740,4,total_post,206.0661158132622,1063,46
1991,21740,12,female_male,265.62787213904386,1009,45
1992,21720,0,total_pre,171.60731836143688,717,26
1992,21720,1,male,167.39508455628544,368,24
