year,species_code,sex,sex_desc,iss,nss,nhls
1982,21720,0,total_pre,3665.011662803237,10863,313
1982,21720,1,male,2280.925815829354,5288,300
1982,21720,2,female,2406.0211208396245,5434,307
1982,21720,4,total_post,3665.011689198428,10863,313
1982,21720,12,female_male,4703.463623333955,10722,310
1982,21740,0,total_pre,1239.9578900863924,42182,308
1982,21740,1,male,1001.2985242819951,16896,276
1982,21740,2,female,1086.4476508590983,17356,275
1982,21740,4,total_post,1239.9578889984111,42182,308
1982,21740,12,female_male,2099.4743381641583,34252,289
1983,21720,0,total_pre,1238.9405186786155,13143,255
1983,21720,1,male,1860.621014613774,5124,249
1983,21720,2,female,1820.643397232855,4856,252
1983,21720,4,total_post,1238.940512241537,13143,255
1983,21720,12,female_male,3664.9215387009176,9980,254
1983,21740,0,total_pre,1529.940026685771,165834,328
1983,21740,1,male,1723.7594155223744,33406,316
1983,21740,2,female,2186.707792893511,34195,315
1983,21740,4,total_post,1529.940027417552,165834,328
1983,21740,12,female_male,3765.4369714001114,67601,320
1984,21720,0,total_pre,3422.8744268998043,12133,264
1984,21720,1,male,2487.805893240013,6090,259
1984,21720,2,female,2354.569137847994,5946,259
1984,21720,4,total_post,3422.8744978831187,12133,264
1984,21720,12,female_male,4837.172849145359,12036,263
1984,21740,0,total_pre,2103.179943438518,51847,330
1984,21740,1,male,1526.4107159608986,21241,299
1984,21740,2,female,1833.2893902510962,23002,299
1984,21740,4,total_post,2103.1799439948827,51847,330
1984,21740,12,female_male,3286.3236326722276,44243,312
1985,21720,0,total_pre,986.7117229958492,16921,345
1985,21720,1,male,818.8549908283208,7522,329
1985,21720,2,female,906.576993297641,7177,325
1985,21720,4,total_post,986.7117253645131,16921,345
1985,21720,12,female_male,1725.244421343228,14699,331
1985,21740,0,total_pre,366.8743844385949,209638,346
1985,21740,1,male,583.7372171859244,40059,306
1985,21740,2,female,675.5794951431562,46746,316
1985,21740,4,total_post,366.8743838998645,209638,346
1985,21740,12,female_male,1271.3567281630735,86805,326
1986,21720,0,total_pre,2780.253672711578,15872,349
1986,21720,1,male,1945.3272935420243,7226,324
1986,21720,2,female,2117.025232945791,7165,324
1986,21720,4,total_post,2780.2536798137808,15872,349
1986,21720,12,female_male,4051.3126733325516,14391,331
1986,21740,0,total_pre,1517.3312939435702,137690,346
1986,21740,1,male,1207.718023718661,36163,311
1986,21740,2,female,1598.9192921257027,35186,323
1986,21740,4,total_post,1517.3312936853386,137690,346
1986,21740,12,female_male,2740.2254953918023,71349,330
1987,21720,0,total_pre,3472.677336597853,9483,339
1987,21720,1,male,2124.2316853350217,4703,334
1987,21720,2,female,1943.0658744102952,4547,332
1987,21720,4,total_post,3472.677331973135,9483,339
1987,21720,12,female_male,4049.678121897085,9250,338
1987,21740,0,total_pre,1700.9947999136687,38518,329
1987,21740,1,male,1397.6312432411553,17400,311
1987,21740,2,female,1575.818934257914,16963,325
1987,21740,4,total_post,1700.994801193473,38518,329
1987,21740,12,female_male,2918.806431740894,34363,327
1988,21720,0,total_pre,2785.0509683777977,6765,339
1988,21720,1,male,1564.5765492738667,3381,307
1988,21720,2,female,1552.0435716949041,3335,316
1988,21720,4,total_post,2785.05098496513,6765,339
1988,21720,12,female_male,3099.451978037387,6716,338
1988,21740,0,total_pre,2189.888464301401,101211,361
1988,21740,1,male,1474.9649832724979,39152,326
1988,21740,2,female,2281.073434136013,42165,334
1988,21740,4,total_post,2189.888462964158,101211,361
1988,21740,12,female_male,3337.7994687875066,81317,343
1989,21720,0,total_pre,2014.8708862837107,4246,293
1989,21720,1,male,1108.7670409313082,2144,276
1989,21720,2,female,1104.3450718360446,2083,269
1989,21720,4,total_post,2014.87082593249,4246,293
1989,21720,12,female_male,2211.7378643404318,4227,291
1989,21740,0,total_pre,1936.428090304128,79967,350
1989,21740,1,male,1730.4857208623105,31819,334
1989,21740,2,female,1524.48235724515,29380,337
1989,21740,4,total_post,1936.4280913229215,79967,350
1989,21740,12,female_male,3110.814268516767,61199,349
1990,21720,0,total_pre,1807.933112894774,5428,329
1990,21720,1,male,1068.8553445231164,2389,300
1990,21720,2,female,1122.4164856596567,2388,298
1990,21720,4,total_post,1807.9330735931055,5428,329
1990,21720,12,female_male,2180.55582350272,4777,317
